"","Station","id","Terminal","Latitude","Longitude","Docks"
"1","25 York St","303","7070",43.643667,-79.380414,"11"
"2","51 Parliament St","17","7064",43.65205,-79.362198,"19"
"3","Augusta Ave / Dundas St W","412","7032",43.652175,-79.400913,"15"
"4","Bathurst St / Queens Quay W","3996","7071",43.6354,-79.3984,"23"
"5","Bay St / Albert St","327","7021",43.653264,-79.382458,"23"
"6","Bay St / Bloor St W","265","7029",43.669429,-79.389326,"15"
"7","Bay St / St Joseph St","290","7026",43.665527,-79.387499,"11"
"8","Bay St / Wellesley St W","129","7030",43.664088,-79.387095,"35"
"9","Bloor St / Brunswick Ave","125","7061",43.665876,-79.407224,"25"
"10","Bond St / Queen St E","556","7045",43.653236,-79.376716,"11"
"11","Bremner Blvd / Rees St","325","7018",43.641529,-79.386741,"15"
"12","Bremner Blvd / Spadina Ave","322","7073",43.640903,-79.392895,"15"
"13","Church St / Alexander St","304","7044",43.6636,-79.3806,"15"
"14","Church St / Bloor St E","629","7034",43.671389,-79.382919,"15"
"15","College Park South","302","7077",43.659777,-79.382767,"19"
"16","Dundas St / Yonge St","32","7038",43.656094,-79.381484,"15"
"17","Edward St / Yonge St","221","7041",43.656729,-79.382736,"23"
"18","Fort York Blvd / Capreol Crt","44","7000",43.639832,-79.395954,"31"
"19","Front St / Yonge St (Hockey Hall of Fame)","1004","7048",43.646144,-79.377962,"39"
"20","Front St W / Blue Jays Way","5","7059",43.643473,-79.390477,"15"
"21","Gould St / Mutual St","555","7028",43.6582,-79.3768,"31"
"22","Huron St / Harbord St","99","7058",43.6637,-79.400053,"19"
"23","Jarvis St / Carlton St","31","7055",43.66207,-79.37617,"15"
"24","Jarvis St / Isabella St","324","7031",43.669192,-79.379128,"23"
"25","King St E / Jarvis St","795","7009",43.650325,-79.372287,"11"
"26","King St W / Spadina Ave","14","7010",43.645323,-79.395003,"19"
"27","Lower Jarvis St / The Esplanade","1089","7001",43.647992,-79.370907,"15"
"28","Madison Ave / Bloor St W","2146","7003",43.667158,-79.402761,"15"
"29","Metro Hall Plaza","848","7053",43.645859,-79.38783,"15"
"30","Navy Wharf Ct / Bremner Blvd","83","7054",43.640722,-79.391051,"11"
