"","Station","Num.Trips","Latitude","Longitude"
"1","161 Bleecker St (South of Wellesley)",11594,43.6665988,-79.3732174
"2","25 York St",20172,43.643667,-79.380414
"3","424 Wellington St W",10153,43.6438342,-79.3966495
"4","51 Parliament St",17139,43.65205,-79.362198
"5","80 Clinton St (North of College)",2232,43.6562963,-79.4146634
"6","Augusta Ave / Denison Sq",7328,43.6538727,-79.4017521
"7","Augusta Ave / Dundas St W",19209,43.652175,-79.400913
"8","Bathurst St / Dundas St W",7938,43.6522958,-79.4060126
"9","Bathurst St / Fort York Blvd",7998,43.6387685,-79.40061
"10","Bathurst St / Lennox St",3506,43.6638315,-79.4106835
"11","Bathurst St / Queens Quay W",17671,43.6354,-79.3984
"12","Bathurst Subway Station",2593,43.6660011,-79.4112152
"13","Bay St / Albert St",36088,43.653264,-79.382458
"14","Bay St / Bloor St W",36604,43.669429,-79.389326
"15","Bay St / College St (East Side)",16036,43.660909,-79.390166
"16","Bay St / Davenport Rd",1989,43.6730853,-79.3906658
"17","Bay St / Queens Quay W (Ferry Terminal)",15179,43.641884,-79.377214
"18","Bay St / St Joseph St",24783,43.665527,-79.387499
"19","Bay St / Wellesley St W",33344,43.664088,-79.387095
"20","Beverly  St / Dundas St W",12017,43.653814,-79.3938243
"21","Beverly St / College St W",8149,43.6587134,-79.3958657
"22","Bloor GO / UP Station/ Rail Path",1170,43.6580286,-79.4508945
"23","Bloor St / Brunswick Ave",20167,43.665876,-79.407224
"24","Bloor St W / Christie St",4220,43.6635591,-79.4184063
"25","Bloor St W / Dundas St W",1594,43.6563348,-79.4524245
"26","Bond St / Queen St E",21977,43.653236,-79.376716
"27","Boston Ave / Queen St E",3722,43.6613414,-79.3387986
"28","Bremner Blvd / Rees St",19414,43.641529,-79.386741
"29","Bremner Blvd / Spadina Ave",26794,43.640903,-79.392895
"30","Bridgeman Ave / Bathurst St",663,43.6743307,-79.4148223
"31","Bridgeman Ave / Kendal Ave",1309,43.6754816,-79.4098212
"32","Cariboo St / Rail Path",893,43.6666942,-79.4583445
"33","Carlton St / Parliament St",3953,43.6642764,-79.3679725
"34","Castle Frank Station",1121,43.6736049,-79.3688194
"35","Central Tech  (Harbord St)",1977,43.6619996,-79.4088813
"36","Central Tech  (Harbord St)",1977,43.6639967,-79.4087556
"37","Cherry St / Distillery Ln",2820,43.6503677,-79.3569845
"38","Cherry St / Mill St",4759,43.6513499,-79.3573594
"39","Chester Station",1405,43.6782356,-79.3524545
"40","Christie St / Benson Ave (Wychwood Barns)",1536,43.6799824,-79.4240684
"41","Church St  / Wood St",6069,43.6628044,-79.3797312
"42","Church St / Alexander St",23604,43.6636,-79.3806
"43","Church St / Bloor St E",19930,43.671389,-79.382919
"44","Claremont St / Dundas St W",2798,43.6511693,-79.4115844
"45","College Park South",34203,43.659777,-79.382767
"46","College St W / Borden St",4557,43.6549406,-79.4168398
"47","College St W / Crawford St",4133,43.6532372,-79.4182957
"48","College St W / Huron St",10897,43.6515678,-79.4101974
"49","College St W / Major St",9185,43.6549406,-79.4168398
"50","College St W / Markham St",5085,43.6570289,-79.4092728
"51","Danforth Ave / Aldridge Ave",761,43.6847323,-79.3171844
"52","Danforth Ave / Barrington Ave",365,43.6884404,-79.3005649
"53","Danforth Ave / Coxwell Ave",1090,43.6833563,-79.3235888
"54","Danforth Ave / Ellerbeck St",2083,43.676679,-79.356409
"55","Danforth Ave / Gough Ave",1469,43.6786924,-79.3461056
"56","Danforth Ave / Lamb Ave",969,43.6821189,-79.3293481
"57","Danforth Ave / Westlake Ave",247,43.6874331,-79.3052146
"58","Davenport Rd / Avenue Rd",1352,43.6746978,-79.3965732
"59","Davenport Rd / Bathurst St",682,43.6766965,-79.4157557
"60","Davenport Rd / Bedford Rd",1275,43.6743644,-79.3998092
"61","Davenport Rd / Christie St",934,43.6755784,-79.4230446
"62","Dockside Dr / Queens Quay E (Sugar Beach)",9460,43.6443346,-79.3678102
"63","Donlands Station",1080,43.6808917,-79.3377455
"64","Dufferin St / Bloor St",1397,43.6598576,-79.4353285
"65","Dufferin St / Sylvan Av (Dufferin Grove Park)",1494,43.6565553,-79.4327637
"66","Dundas St / Yonge St",43336,43.656094,-79.381484
"67","Dundas St E / Broadview Ave",2864,43.6624391,-79.3513456
"68","Dundas St E / Parliament St",7292,43.6594276,-79.3659956
"69","Dundas St E / Regent Park Blvd",7751,43.6603557,-79.3618038
"70","Dundas St W / Crawford St",4328,43.6500648,-79.4170615
"71","Dundas St W / Edna Ave",787,43.6572627,-79.4526909
"72","Dundonald St / Church St",6539,43.6667003,-79.3813459
"73","East Liberty St / Pirandello St",8223,43.6386723,-79.4139607
"74","Edward St / Yonge St",22094,43.656729,-79.382736
"75","Elizabeth St / Edward St (Bus Terminal)",9339,43.6560524,-79.3846762
"76","Essex St / Christie St",1314,43.6683553,-79.4202547
"77","Euclid Ave / Bloor St W",5661,43.664332,-79.4148618
"78","Exhibition GO (Atlantic Ave)",2042,43.6358793,-79.4187734
"79","Fort York Blvd / Capreol Crt",29959,43.639832,-79.395954
"80","Fort York Blvd / Garrison Rd",3351,43.6374334,-79.4061926
"81","Front St / Bay St (North Side)",6182,43.6461463,-79.3793173
"82","Front St / Yonge St (Hockey Hall of Fame)",30679,43.646144,-79.377962
"83","Front St E / Cherry St",2975,43.6526324,-79.3580917
"84","Front St W / Blue Jays Way",29395,43.643473,-79.390477
"85","Gerrard St E / River St",1818,43.6636944,-79.3592313
"86","Glen Edyth Dr / Davenport Rd",1848,43.6781484,-79.4048738
"87","Gould St / Mutual St",31784,43.6582,-79.3768
"88","Hanna Ave / Liberty St",3076,43.6385083,-79.4195451
"89","Harbord St / Clinton St",2128,43.6602673,-79.4158311
"90","Hayter St / Laplante Ave",5670,43.6590542,-79.3859663
"91","Howard St / Sherbourne St",4856,43.6712495,-79.3764212
"92","HTO Park (Queen's Quay W)",9184,43.6375849,-79.3884382
"93","Huron St / Harbord St",12775,43.6637,-79.400053
"94","Jarvis St / Carlton St",16250,43.66207,-79.37617
"95","Jarvis St / Dundas St E",3631,43.6570469,-79.3745394
"96","Jarvis St / Isabella St",18347,43.669192,-79.379128
"97","Jimmie Simpson Park (Queen St E)",2394,43.6604409,-79.3453882
"98","Jimmie Simpson Park (Queen St E)",2394,43.6612075,-79.3447934
