Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Station,Latitude,Longitude,Num.Trips
4,50.02449022,40.37276688,2.472222938,7.130519966,Dundas St W / Edna Ave,43.6572627,-79.4526909,787
4,50.02449022,40.37276688,2.472222938,7.130519966,Landsdowne Subway Green P,43.6647888,-79.4635996,1791
4,50.02449022,40.37276688,2.472222938,7.130519966,Queen St W / Close Ave,43.6407312,-79.4359476,2749
4,50.02449022,40.37276688,2.472222938,7.130519966,Bloor St W / Dundas St W,43.6563348,-79.4524245,1594
4,50.02449022,40.37276688,2.472222938,7.130519966,Queen St W / Cowan Ave,43.6413253,-79.4331243,1661
9,43.330898,42.85759665,2.099679172,11.71182618,Salem Ave / Bloor St W,43.6606625,-79.4316443,1998
9,43.330898,42.85759665,2.099679172,11.71182618,Liberty St / Fraser Ave Green P,43.6416978,-79.4236547,1991
9,43.330898,42.85759665,2.099679172,11.71182618,Lansdowne Ave / Whytock Ave,43.6538351,-79.4411144,430
9,43.330898,42.85759665,2.099679172,11.71182618,Rusholme Park Cres / College St W,43.6529203,-79.4296335,2023
9,43.330898,42.85759665,2.099679172,11.71182618,Queen St W / Gladstone Ave,43.6425333,-79.4271162,3319
9,43.330898,42.85759665,2.099679172,11.71182618,Sterling Rd / Dundas St W,43.6506776,-79.4430582,1735
9,43.330898,42.85759665,2.099679172,11.71182618,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6565553,-79.4327637,1494
9,43.330898,42.85759665,2.099679172,11.71182618,Bloor GO / UP Station/ Rail Path,43.6580286,-79.4508945,1170
9,43.330898,42.85759665,2.099679172,11.71182618,Dufferin St / Bloor St,43.6598576,-79.4353285,1397
9,43.330898,42.85759665,2.099679172,11.71182618,Cariboo St / Rail Path,43.6666942,-79.4583445,893
9,43.330898,42.85759665,2.099679172,11.71182618,Margueretta St / College St W,43.651566,-79.437566,895
9,43.330898,42.85759665,2.099679172,11.71182618,Mary McCormick Rec Centre (Sheridan Ave),43.6474373,-79.4328546,1407
